iteration	average_loss_in_train_data	prediction_accuracy_on_test_data	average_loss_in_test data
1	0.031172903223840046	0.7761194029850746	0.06326099559670192
2	0.031172579231412867	0.7835820895522388	0.06325904316725686
3	0.031172078035783597	0.7835820895522388	0.06325429235076893
4	0.031172491229150973	0.7835820895522388	0.06325184323944663
5	0.03117330924080744	0.7835820895522388	0.06325189580239643
6	0.03117255589353258	0.7835820895522388	0.06324748584319806
7	0.031172144885027446	0.7761194029850746	0.06324319686594579
8	0.03117222581282742	0.7835820895522388	0.06324248797182977
9	0.03117152357977005	0.7761194029850746	0.06323739918456861
10	0.031172362198080207	0.7835820895522388	0.0632362994412445
11	0.03117315972942608	0.7761194029850746	0.06323173897651613
12	0.031172286915377087	0.7761194029850746	0.06322663037843411
13	0.031173553980456216	0.7761194029850746	0.06322528451714438
14	0.031174867001980272	0.7761194029850746	0.06322476939062643
15	0.0311740015905778	0.7835820895522388	0.0632211440671624
16	0.031174358663444923	0.7835820895522388	0.06322023456089959
17	0.031173266182773295	0.7835820895522388	0.06321689436700573
18	0.03117417186933455	0.7835820895522388	0.06321736613798082
19	0.03117594798585825	0.7835820895522388	0.06321809572454297
20	0.031175018181494665	0.7835820895522388	0.06321381137686541
