iteration	average_loss_in_train_data	prediction_accuracy_on_test_data	average_loss_in_test data
1	0.03335317283986516	0.904	0.056767469513780346
2	0.03335287910841308	0.904	0.056765502790783906
3	0.03335264727276761	0.896	0.0567632430372534
4	0.033352663575711955	0.896	0.05676185113127743
5	0.03335363899615733	0.904	0.056761978133885116
6	0.033353057794542625	0.904	0.05675953202633693
7	0.033353082947604175	0.904	0.05675815273714552
8	0.03335371199250967	0.904	0.056757774225515464
9	0.033352649939728723	0.896	0.056754221796353914
10	0.03335299836556538	0.904	0.0567533056365532
11	0.03335303672683977	0.904	0.05675189099922741
12	0.03335278385387407	0.904	0.056750047931768285
13	0.0333522248790178	0.904	0.05674763881830913
14	0.033351644491431756	0.904	0.05674512776749123
15	0.03335169054391317	0.904	0.05674383894270931
16	0.03335062129143711	0.904	0.056740665561519875
17	0.03335038380765247	0.904	0.056738853606780416
18	0.03335050699464956	0.904	0.056737162912239104
19	0.033350569560178026	0.904	0.05673577538402013
20	0.03335002733436436	0.904	0.05673337950225182
