iteration	average_loss_in_train_data	prediction_accuracy_on_test_data	average_loss_in_test data
1	0.028483322689115784	0.8372093023255814	0.06973555550835955
2	0.028483371222278134	0.8372093023255814	0.06972584029031828
3	0.028483695754563013	0.8372093023255814	0.06971614808606358
4	0.028483009730901093	0.8372093023255814	0.06970493278149897
5	0.02848203663250433	0.8372093023255814	0.0696925675572475
6	0.028481354462848524	0.8372093023255814	0.06968136045250849
7	0.0284816705652418	0.8372093023255814	0.06967218228718844
8	0.028481731879175014	0.8372093023255814	0.06966244989214758
9	0.028481798734898582	0.8372093023255814	0.06965223749714897
10	0.02848160154815764	0.8372093023255814	0.06964143416268742
11	0.02848167310428306	0.8372093023255814	0.06963121685680901
12	0.028482000152374294	0.8372093023255814	0.06962206196361018
13	0.028482329711654597	0.8372093023255814	0.06961290147864772
14	0.02848292562042295	0.8372093023255814	0.06960426938683908
15	0.028482454531940565	0.8372093023255814	0.06959235435510844
16	0.02848150339581794	0.8372093023255814	0.06958002755072895
17	0.02848184173318522	0.8372093023255814	0.06957088576003151
18	0.02848326649365792	0.8372093023255814	0.0695639934230885
19	0.028483356071514962	0.8372093023255814	0.06955382215661013
20	0.028483448160320272	0.8372093023255814	0.06954363426104729
